n,time
100,0.009
200,0.016
300,0.017
400,0.008
500,0.015
600,0.016
700,0.008
800,0.016
900,0.016
1000,0.016
1100,0.016
1200,0.016
1300,0.008
1400,0.016
1500,0.016
1600,0.008
1700,0.016
1800,0.016
1900,0.016
2000,0.008
2100,0.016
2200,0.016
2300,0.016
2400,0.016
2500,0.016
2600,0.016
2700,0.016
2800,0.016
2900,0.016
3000,0.016
3100,0.016
3200,0.016
3300,0.016
3400,0.016
3500,0.016
3600,0.016
3700,0.016
3800,0.024
3900,0.016
4000,0.016
4100,0.016
4200,0.016
4300,0.016
4400,0.016
4500,0.016
4600,0.016
4700,0.016
4800,0.016
4900,0.016
5000,0.016
5100,0.016
5200,0.016
5300,0.016
5400,0.016
5500,0.008
5600,0.016
5700,0.016
5800,0.008
5900,0.016
6000,0.016
6100,0.016
6200,0.016
6300,0.016
6400,0.016
6500,0.016
6600,0.016
6700,0.008
6800,0.016
6900,0.016
7000,0.016
7100,0.016
7200,0.016
7300,0.016
7400,0.016
7500,0.016
7600,0.016
7700,0.016
7800,0.016
7900,0.016
8000,0.016
8100,0.016
8200,0.016
8300,0.016
8400,0.016
8500,0.016
8600,0.016
8700,0.016
8800,0.016
8900,0.016
9000,0.016
9100,0.016
9200,0.024
9300,0.024
9400,0.024
9500,0.016
9600,0.016
9700,0.016
9800,0.016
9900,0.016
10000,0.016
10100,0.016
10200,0.016
10300,0.024
10400,0.016
10500,0.024
10600,0.024
10700,0.016
10800,0.016
10900,0.016
11000,0.016
11100,0.016
11200,0.016
11300,0.016
11400,0.016
11500,0.024
11600,0.016
11700,0.016
11800,0.016
11900,0.016
12000,0.024
12100,0.016
12200,0.016
12300,0.032
12400,0.024
12500,0.024
12600,0.024
12700,0.024
12800,0.016
12900,0.016
13000,0.015
13100,0.018
13200,0.016
13300,0.02
13400,0.019
13500,0.016
13600,0.019
13700,0.015
13800,0.016
13900,0.016
14000,0.016
14100,0.016
14200,0.016
14300,0.016
14400,0.024
14500,0.016
14600,0.016
14700,0.016
14800,0.016
14900,0.016
15000,0.016
15100,0.024
15200,0.024
15300,0.024
15400,0.016
15500,0.016
15600,0.016
15700,0.016
15800,0.016
15900,0.016
16000,0.016
16100,0.016
16200,0.016
16300,0.016
16400,0.016
16500,0.016
16600,0.016
16700,0.016
16800,0.016
16900,0.016
17000,0.016
17100,0.016
17200,0.016
17300,0.016
17400,0.016
17500,0.016
17600,0.016
17700,0.04
17800,0.016
17900,0.016
18000,0.016
18100,0.016
18200,0.016
18300,0.024
18400,0.024
18500,0.016
18600,0.016
18700,0.016
18800,0.024
18900,0.024
19000,0.024
19100,0.024
19200,0.024
19300,0.016
19400,0.016
19500,0.016
19600,0.016
19700,0.024
19800,0.016
19900,0.016
20000,0.032
20100,0.024
20200,0.016
20300,0.024
20400,0.016
20500,0.016
20600,0.016
20700,0.024
20800,0.024
20900,0.016
21000,0.016
21100,0.024
21200,0.024
21300,0.024
21400,0.024
21500,0.016
21600,0.024
21700,0.016
21800,0.016
21900,0.024
22000,0.024
22100,0.016
22200,0.016
22300,0.024
22400,0.024
22500,0.016
22600,0.016
22700,0.024
22800,0.016
22900,0.024
23000,0.032
23100,0.024
23200,0.016
23300,0.024
23400,0.024
23500,0.024
23600,0.016
23700,0.024
23800,0.024
23900,0.024
24000,0.016
24100,0.016
24200,0.016
24300,0.024
24400,0.032
24500,0.024
24600,0.024
24700,0.024
24800,0.016
24900,0.016
25000,0.024
25100,0.024
25200,0.016
25300,0.024
25400,0.024
25500,0.016
25600,0.024
25700,0.024
25800,0.016
25900,0.024
26000,0.016
26100,0.016
26200,0.024
26300,0.024
26400,0.016
26500,0.024
26600,0.024
26700,0.024
26800,0.024
26900,0.016
27000,0.024
27100,0.016
27200,0.024
27300,0.024
27400,0.024
27500,0.024
27600,0.024
27700,0.024
27800,0.016
27900,0.024
28000,0.024
28100,0.024
28200,0.024
28300,0.024
28400,0.016
28500,0.024
28600,0.016
28700,0.024
28800,0.016
28900,0.024
29000,0.024
29100,0.024
29200,0.024
29300,0.064
29400,0.032
29500,0.024
29600,0.024
29700,0.024
29800,0.016
29900,0.027
30000,0.025
30100,0.025
30200,0.026
30300,0.025
30400,0.025
30500,0.024
30600,0.024
30700,0.016
30800,0.024
30900,0.024
31000,0.024
31100,0.024
31200,0.024
31300,0.024
31400,0.032
31500,0.024
31600,0.024
31700,0.024
31800,0.02
31900,0.026
32000,0.024
32100,0.029
32200,0.025
32300,0.024
32400,0.026
32500,0.025
32600,0.026
32700,0.025
32800,0.048
32900,0.024
33000,0.024
33100,0.024
33200,0.024
33300,0.024
33400,0.024
33500,0.032
33600,0.024
33700,0.024
33800,0.024
33900,0.032
34000,0.024
34100,0.024
34200,0.024
34300,0.024
34400,0.024
34500,0.016
34600,0.024
34700,0.024
34800,0.032
34900,0.024
35000,0.024
35100,0.024
35200,0.024
35300,0.032
35400,0.024
35500,0.024
35600,0.024
35700,0.032
35800,0.024
35900,0.024
36000,0.024
36100,0.024
36200,0.032
36300,0.032
36400,0.032
36500,0.032
36600,0.024
36700,0.024
36800,0.024
36900,0.032
37000,0.024
37100,0.024
37200,0.024
37300,0.024
37400,0.024
37500,0.024
37600,0.024
37700,0.024
37800,0.024
37900,0.032
38000,0.024
38100,0.024
38200,0.024
38300,0.032
38400,0.024
38500,0.024
38600,0.024
38700,0.024
38800,0.028
38900,0.027
39000,0.026
39100,0.032
39200,0.024
39300,0.027
39400,0.031
39500,0.024
39600,0.024
39700,0.056
39800,0.024
39900,0.032
40000,0.024
40100,0.024
40200,0.024
40300,0.024
40400,0.024
40500,0.024
40600,0.024
40700,0.024
40800,0.024
40900,0.024
41000,0.024
41100,0.024
41200,0.024
41300,0.024
41400,0.024
41500,0.024
41600,0.024
41700,0.024
41800,0.024
41900,0.032
42000,0.024
42100,0.032
42200,0.032
42300,0.024
42400,0.024
42500,0.032
42600,0.032
42700,0.032
42800,0.032
42900,0.032
43000,0.032
43100,0.024
43200,0.024
43300,0.024
43400,0.024
43500,0.024
43600,0.024
43700,0.024
43800,0.032
43900,0.032
44000,0.032
44100,0.032
44200,0.032
44300,0.032
44400,0.032
44500,0.032
44600,0.032
44700,0.024
44800,0.024
44900,0.024
45000,0.024
45100,0.032
45200,0.032
45300,0.032
45400,0.024
45500,0.024
45600,0.024
45700,0.024
45800,0.032
45900,0.032
46000,0.032
46100,0.024
46200,0.032
46300,0.024
46400,0.024
46500,0.032
46600,0.032
46700,0.032
46800,0.024
46900,0.032
47000,0.032
47100,0.032
