n, time
100,0.000027
200,0.000089
300,0.000184
400,0.000321
500,0.000501
600,0.000709
700,0.00096
800,0.001248
900,0.001579
1000,0.001939
1100,0.002351
1200,0.002477
1300,0.002718
1400,0.003135
1500,0.003408
1600,0.003563
1700,0.004091
1800,0.003941
1900,0.004251
2000,0.00467
2100,0.004617
2200,0.004809
2300,0.004978
2400,0.005153
2500,0.005327
2600,0.005397
2700,0.005421
2800,0.005711
2900,0.005866
3000,0.006129
3100,0.006447
3200,0.006768
3300,0.00708
3400,0.007765
3500,0.007999
3600,0.008657
3700,0.00891
3800,0.009654
3900,0.01009
4000,0.01058
4100,0.01173
4200,0.011631
4300,0.012463
4400,0.012964
4500,0.01354
4600,0.014029
4700,0.014749
4800,0.015426
4900,0.015659
5000,0.01634
5100,0.016935
5200,0.017599
5300,0.018249
5400,0.018922
5500,0.019617
5600,0.020389
5700,0.021221
5800,0.021851
5900,0.022499
6000,0.023417
6100,0.024351
6200,0.025072
6300,0.025625
6400,0.026646
6500,0.027442
6600,0.028137
6700,0.029054
6800,0.030087
6900,0.031018
7000,0.031723
7100,0.032484
7200,0.033537
7300,0.034434
7400,0.035495
7500,0.036479
7600,0.037564
7700,0.038974
7800,0.039418
7900,0.040344
8000,0.041572
8100,0.04239
8200,0.043625
8300,0.0446
8400,0.046574
8500,0.046806
8600,0.047758
8700,0.049095
8800,0.050251
8900,0.051219
9000,0.052491
9100,0.054582
9200,0.054591
9300,0.055862
9400,0.057318
9500,0.058222
9600,0.059544
9700,0.06068
9800,0.062153
9900,0.063293
10000,0.064491
10100,0.066005
10200,0.069703
10300,0.068432
10400,0.06986
10500,0.071048
10600,0.072931
10700,0.073761
10800,0.075209
10900,0.076563
11000,0.083028
11100,0.084853
11200,0.080894
11300,0.082296
11400,0.084354
11500,0.085246
11600,0.086678
11700,0.088366
11800,0.089728
11900,0.091172
12000,0.092984
12100,0.094159
12200,0.100816
12300,0.098733
12400,0.102856
12500,0.104959
12600,0.103599
12700,0.103906
12800,0.105617
12900,0.107093
13000,0.108866
13100,0.11043
13200,0.112363
13300,0.113756
13400,0.11554
13500,0.117271
13600,0.118953
13700,0.120559
13800,0.122636
13900,0.124297
14000,0.126449
14100,0.127893
14200,0.129606
14300,0.132002
14400,0.133304
14500,0.13513
14600,0.137034
14700,0.139024
14800,0.140622
14900,0.142771
15000,0.146566
15100,0.153425
15200,0.155414
15300,0.15588
15400,0.153482
15500,0.155447
15600,0.15698
15700,0.160746
15800,0.160548
15900,0.163955
16000,0.167126
16100,0.170512
16200,0.173901
16300,0.172436
16400,0.173431
16500,0.176819
16600,0.178924
16700,0.179463
16800,0.181378
16900,0.183503
17000,0.185466
17100,0.187847
17200,0.191209
17300,0.194227
17400,0.195718
17500,0.196897
17600,0.199082
17700,0.201053
17800,0.203569
17900,0.207438
18000,0.208247
18100,0.210464
18200,0.213473
18300,0.215689
18400,0.217162
18500,0.219787
18600,0.221985
18700,0.227209
18800,0.22695
18900,0.228977
19000,0.231946
19100,0.233952
19200,0.236801
19300,0.238919
19400,0.241792
19500,0.244814
19600,0.246734
19700,0.251057
19800,0.252918
19900,0.256784
20000,0.25974
20100,0.259131
20200,0.264433
20300,0.267601
20400,0.268179
20500,0.274302
20600,0.272891
20700,0.284695
20800,0.277664
20900,0.280595
21000,0.282926
21100,0.298777
21200,0.290779
21300,0.291731
21400,0.29618
21500,0.298592
21600,0.301208
21700,0.305551
21800,0.307418
21900,0.309831
22000,0.312332
22100,0.315197
22200,0.317292
22300,0.320563
22400,0.326772
22500,0.339578
22600,0.330853
22700,0.333068
22800,0.336796
22900,0.34027
23000,0.341951
23100,0.342227
23200,0.347125
23300,0.35378
23400,0.356025
23500,0.362421
23600,0.361387
23700,0.362664
23800,0.373304
23900,0.368361
24000,0.36822
24100,0.372113
24200,0.375035
24300,0.380371
24400,0.383742
24500,0.387053
24600,0.38896
24700,0.394586
24800,0.399686
24900,0.40317
25000,0.403391
25100,0.420194
25200,0.423933
25300,0.417847
25400,0.416954
25500,0.427842
25600,0.42459
25700,0.425388
25800,0.428822
25900,0.431874
26000,0.434889
26100,0.442988
26200,0.459703
26300,0.45755
26400,0.461453
26500,0.450346
26600,0.456321
26700,0.456932
26800,0.461472
26900,0.463227
27000,0.468578
27100,0.472415
27200,0.475382
27300,0.482448
27400,0.484264
27500,0.487857
27600,0.488117
27700,0.493319
27800,0.494881
27900,0.497765
28000,0.505979
28100,0.509444
28200,0.52262
28300,0.521915
28400,0.51792
28500,0.52051
28600,0.524273
28700,0.528268
28800,0.53264
28900,0.536625
29000,0.544397
29100,0.54593
29200,0.544917
29300,0.551858
29400,0.556751
29500,0.556475
29600,0.561129
29700,0.592009
29800,0.57302
29900,0.572612
30000,0.576568
30100,0.584354
30200,0.586065
30300,0.589959
30400,0.592839
30500,0.599594
30600,0.601182
30700,0.605131
30800,0.608294
30900,0.614538
31000,0.620028
31100,0.621375
31200,0.6261
31300,0.645427
31400,0.64919
31500,0.666956
31600,0.658243
31700,0.670195
31800,0.659542
31900,0.659368
32000,0.656501
32100,0.666967
32200,0.667146
32300,0.674153
32400,0.675179
32500,0.70417
32600,0.689974
32700,0.687687
32800,0.689436
32900,0.697967
33000,0.698888
33100,0.711084
33200,0.721642
33300,0.722617
33400,0.744514
33500,0.729708
33600,0.729492
33700,0.732673
33800,0.738863
33900,0.746332
34000,0.743541
34100,0.757592
34200,0.764304
34300,0.759767
34400,0.769294
34500,0.770317
34600,0.776693
34700,0.775112
34800,0.794328
34900,0.791706
35000,0.790361
35100,0.79542
35200,0.798857
35300,0.807135
35400,0.803475
35500,0.816299
35600,0.817358
35700,0.817058
35800,0.82514
35900,0.83248
36000,0.832704
36100,0.835496
36200,0.842189
36300,0.848588
36400,0.853411
36500,0.859277
36600,0.868647
36700,0.879432
36800,0.88308
36900,0.873927
37000,0.880863
37100,0.892057
37200,0.896705
37300,0.990206
37400,0.952963
37500,0.949294
37600,0.911758
37700,0.911852
37800,0.918914
37900,0.922654
38000,0.933229
38100,0.936249
38200,0.937314
38300,0.950545
38400,0.989395
38500,0.995644
38600,1.013069
38700,1.043374
38800,1.102873
38900,1.046744
39000,1.057741
39100,1.026491
39200,1.039943
39300,0.991584
39400,1.014052
39500,1.011084
39600,1.060771
39700,1.230925
39800,1.228334
39900,1.242866
40000,1.224873
40100,1.209895
40200,1.249208
40300,1.201815
40400,1.164941
40500,1.093706
40600,1.111939
40700,1.498201
40800,1.599101
40900,1.556968
41000,1.35302
41100,1.172983
41200,1.179552
41300,1.187021
41400,1.386071
41500,1.376103
41600,1.511493
41700,1.231578
41800,1.230044
41900,1.18791
42000,1.160074
42100,1.168631
42200,1.174399
42300,1.162679
42400,1.161984
42500,1.167149
42600,1.211179
42700,1.192226
42800,1.217664
42900,1.204294
43000,1.205775
43100,1.217086
43200,1.295921
43300,1.260656
43400,1.388832
43500,1.26293
43600,1.244104
43700,1.251953
43800,1.250679
43900,1.262138
44000,1.263682
44100,1.267031
44200,1.282616
44300,1.279658
44400,1.296515
44500,1.369859
44600,1.293214
44700,1.287666
44800,1.341086
44900,1.305521
45000,1.312248
45100,1.321957
45200,1.330257
45300,1.324215
45400,1.327864
45500,1.34008
45600,1.349253
45700,1.347608
45800,1.353687
45900,1.361131
46000,1.368683
